"id","name","parent_id"
1,AI,0
2,Model,1
3,CorssEncoder,5
4,BiEncoder,5
5,RankModel,2
6,CoT,7
7,Reason,1
8,ReACT,7
9,RAG,1
10,Agent,1
11,EmbeddingModel,2
12,RetroMAE,11
13,SBert,11
14,SimCSE,11
15,BGE,11
16,LLM,2
17,DeepSeek,16
18,Attention,2
19,MHA,18
20,MLA,18
21,MQA,18
22,GQA,18
23,FlashAttention,18
24,PagedAttention,18
25,GPT,16
26,LLama,16
27,Baichuan,16
28,FineTune,1
29,PromptTuning,28
30,PrefixTuning,28
31,P-Tuning,28
32,P-Tuning V2,31
34,LoRA,28
35,LORA+,34
36,VeRA,34
37,LORA-FA,34
38,LORA-DROP,34
39,AdaROLA,34
40,DORA,34
41,DELTA-ROLA,34
42,显存占用分析,1
43,Optimizer,1
44,SGD,43
45,Momentum,43
46,AdaGrad,43
47,RMSProp,43
48,Adam,43
49,AdamW,43
50,Normalizer,1
51,BatchNorm,50
52,LayerNorm,50
53,RMSNorm,50
54,DeepNorm,50
